PARENT_PARK,NAME,TOTAL_AREA,YEAR,water_usage_summer,water_usage_autumn,water_usage_winter,water_usage_spring,water_usage_year,RF_summer,RF_autumn,RF_winter,RF_spring,RF_year,ET_summer,ET_autumn,ET_winter,ET_spring,ET_year
1308056,A E CRACKNELL RESERVE,8614,2013,2261,1572,302,30,4165,158.4999993,126.8999977,196.5999947,209.4000015,691.3999932,477.4000025,232.3999998,112.7,279.6000001,1102.100002
1018882,HUGHES PARK,11124,2013,13,0,1,40,54,152.1999984,108.5000019,244.4000015,227.7000046,732.8000064,477.9000016,232.4000008,115.5000001,281.7000012,1107.500004
70033,CAMPBELL RESERVE,10813,2013,0,0,0,0,0,116.3000038,121.7999992,233.9000053,189.5999985,661.6000068,481.7000003,244.8999999,126.6999997,303.8999999,1157.2
71722,NICK ASCENZO RESERVE,7458,2013,87,475,594,380,1536,124.7,118.9999981,244.1999931,205.3000031,693.1999943,481.9000011,238.1999995,119.3,295.2000003,1134.600001
70921,HAYS PADDOCK,26162,2013,768,562,20,226,1576,126.0999975,121.2000008,232.7999992,205.2999954,685.3999929,482.2000017,244.0000001,127.6999999,304.4999988,1158.400001
70863,H R UREN RESERVE,16112,2013,0,0,0,0,0,116.8000031,122.5999966,241.4000015,190.0999985,670.8999997,481.9999985,240.0999996,121.5999993,297.5999993,1141.299997
71914,PINEWOOD RESERVE,13877,2013,1953,1492,253,714,4412,150.5000014,124.7000027,262.5,267.1000061,804.8000102,469.2000007,234.8000002,119.1999999,287.5000005,1110.700001
71194,KIMBERLY DRIVE RESERVE,25366,2013,0,0,0,0,0,152.1999984,108.5000019,244.4000015,227.7000046,732.8000064,477.9000016,232.4000008,115.5000001,281.7000012,1107.500004
70862,H L T OULTON RESERVE,22623,2013,3306,1108,23,14,4451,116.3000038,121.7999992,233.9000053,189.5999985,661.6000068,481.7000003,244.8999999,126.6999997,303.8999999,1157.2
80957,WYLIE RESERVE,5624,2013,1023,491,102,33,1649,109,115,217.7000008,185.2000008,626.9000016,482.2000008,247.1000012,128.6999998,304.3999996,1162.400001
982750,MONBULK RECREATION RESERVE,27252,2013,1057,991,75,2206,4329,157.4505732,203.1255291,407.0553194,402.9363381,1170.56776,441.4970556,210.5392793,95.46546572,252.7794591,1000.28126
70873,HALLEY SUPPLE RESERVE,17144,2013,793,953,155,1548,3449,151.2999983,124.8000011,231.0000076,243.5999985,750.7000055,473.6000014,226.9000012,110.0999997,270.5999995,1081.200002
69653,ASHWOOD RESERVE,16699,2013,0,0,0,0,0,143.1000032,117.6000004,251.6000023,227.5000076,739.8000135,473.8000027,238.6999995,122.6999998,294.1999991,1129.400001
70536,ELTHAM NORTH RESERVE,23487,2013,974,858,231,58,2121,142.2999978,105.3000011,208.1999969,186.8999977,642.6999935,482.8000002,238.2,119.7999998,291.4999997,1132.3
999342,WATSON PARK,11766,2013,864,567,135,432,1998,137.5030959,116.1319595,243.1587687,210.8927939,707.686618,476.6443312,243.4711319,126.920616,302.7329851,1149.769064
635547,MILL PARK RECREATION RESERVE,33348,2013,195,431,416,585,1627,136.1000016,119.1999989,235.3999977,206.0000038,696.700002,480.5000011,237.2000007,115.9999999,290.7,1124.400002
80964,YARRA BEND PARK,614253,2013,1031,1253,888,2423,5595,115.4016254,115.9008063,210.2034287,193.101851,634.6077114,481.6000918,248.5993018,132.999195,308.3994071,1171.597996
982710,ALISTAIR KNOX PARK WEST,12504,2013,0,0,0,0,0,142.2999978,105.3000011,208.1999969,186.8999977,642.6999935,482.8000002,238.2,119.7999998,291.4999997,1132.3
